time,fusion
2018-01-12 02:00:00,14007kt 9999 WM NCDNClD M 04 02 q1027 16007KT CAVOK 04/03 Q1027 NOSIG
2018-01-12 03:00:00,15007kt 9999 WM MNClD M 05 03 q1026 17007KT CAVOK 04/03 Q1026 NOSIG
2018-01-12 04:00:00,16007kt 9999 WM MNClD M 05 03 q1026 18005KT CAVOK 03/02 Q1026 NOSIG
2018-01-12 06:00:00,17007kt 9999 WM MNClD M 05 03 q1025 16006KT CAVOK 05/02 Q1024 NOSIG
2018-01-12 08:00:00,17009kt 9999 WM MNClD M 06 03 q1024 16010KT CAVOK 07/02 Q1024 NOSIG
2018-01-12 10:00:00,17007kt 9999 WM FEW045 M 08 04 q1023 15011KT 130V190 9999 FEW044 08/03 Q1024 NOSIG
2018-01-12 12:00:00,16007kt 9999 WM MNClD M 11 04 q1022 15007KT 120V190 9999 FEW040 10/04 Q1023 NOSIG
2018-01-12 13:00:00,15009kt 9999 WM FEW040 M 11 05 q1021 15007KT 120V190 9999 FEW040 10/05 Q1022 NOSIG
2018-01-12 15:00:00,14005kt 9999 WM FEW030 M 13 05 q1020 20015KT 170V240 9999 SCT030 12/06 Q1019 NOSIG
2018-01-12 17:00:00,15009kt 9999 WM M030 M 11 05 q1019 19017KT 9999 FEW030 11/06 Q1018 NOSIG
2018-01-12 19:00:00,17013kt 9999 WM M040 M 11 06 q1017 16010KT 090V210 9999 FEW040 11/05 Q1018 NOSIG
2018-01-12 23:00:00,19019kt 9999 RA FEWNClD M 10 07 q1015 14013KT 9999 -RA NSC 10/06 Q1014 TEMPO 3000 RA BKN014
2018-01-13 02:00:00,19015kt 9999 WM FEWNClD M 10 06 q1013 18008KT 7000 -RA FEW024/// BKN035/// BKN048/// 09/08 Q1014
2018-01-13 03:00:00,20017kt 9999 RA FEW015 M 10 07 q1013 VRB02KT 6000 -RA SCT013/// BKN047/// 09/08 Q1014
2018-01-13 04:00:00,21015kt 9999 RA NSCNClD SCT 09 07 q1014 18006KT 9999 -RA NSC 08/08 Q1014
2018-01-13 05:00:00,22013kt 9999 FG FEW005 SCT 09 08 q1014 16004KT 140V200 9999 VCFG FEW001 SCT045 08/08 Q1014 TEMPO 1500 BCFG
2018-01-13 06:00:00,25007kt 9999 RA FEW040 SCT 09 09 q1014 17002KT 9999 FEW035 08/08 Q1014 TEMPO 1500 BCFG
2018-01-13 07:00:00,27005kt 9999 WM FEW030 M 09 08 q1014 17005KT 9999 FEW025 08/07 Q1014 TEMPO 1500 BCFG
2018-01-13 08:00:00,27005kt 9999 RA FEW030 M 08 07 q1014 22007KT 9999 FEW025 07/07 Q1014 NOSIG
2018-01-13 11:00:00,26007kt 9999 WM SCT030 M 10 07 q1016 25004KT 230V290 9999 SCT030TCU 10/06 Q1016 TEMPO 3000 SHRA
2018-01-13 12:00:00,27009kt 9999 RA FEW015 SCT 10 07 q1015 30008G20KT 230V020 8000 -SHRA FEW015 SCT030CB 09/06 Q1016 TEMPO 3000 SHRA
2018-01-13 13:00:00,28009kt 9999 WM FEW030 FEW 10 07 q1015 22006KT 9999 FEW030TCU FEW040CB 09/07 Q1015 TEMPO 3000 SHRA
2018-01-13 14:00:00,27009kt 9999 WM FEW030 M 10 06 q1015 20003KT 170V230 9999 FEW030TCU 09/07 Q1015 TEMPO 3000 SHRA
2018-01-13 15:00:00,26007kt 9999 WM FEW030 M 10 06 q1015 19005KT 160V260 9999 FEW030CB 11/07 Q1015 TEMPO 3000 SHRA
